id,cr_no,target_sentence,response,training,tooshort_AD,irrelevant_AD,copypaste_AD,eval_AD,overall_AD,notes_AD,overall_AD_2,tooshort_JM,irrelevant_JM,copypaste_JM,eval_JM,overall_JM,notes_JM,overall_JM_2,interrater_difference,agree,interrater_difference_2
SERP_F19C_B1_96,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",I didn't know this fact before. It's similar to those plants that eat other bugs in that they respond to a stimulus.,1,0,0,0,0,0,NA,0,0,0,0,0,2,NA,2,2,0,2
SERP_F19C_B1_96,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.","Oh,  I thought the cornea was the pupil part. To be fair though, I'm not too familiar with body part anatomy.  I wonder if it covers all of the eye or if its just around the pupil and iris. Does that mean the iris is the colored portion?",1,0,0,0,0,0,feels too off target,0,0,0,0,0,2,I like the fact that they are monitoring by asking a question,2,2,0,2
SERP_F19C_B1_96,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,The pupil changes its diameter in correlation to the iris's muscles. I'm guessing that the muscles change with the light?,1,0,0,0,0,1,trying,1,0,0,0,0,2,I gave this a 2 overall since it's a paraphrase/prediction combo.,2,1,0,1
SERP_F19C_B1_96,viz_cr_4,"In dim light, the pupil becomes larger","Oh that makes sense. It's like a net; the pupil wants to obtain more light in order to see more so it'll enlarge so that it can cast a wider scope. Since there is few light, the pupil is reaching for the scraps of light.",1,0,0,0,0,1,still trying,1,0,0,0,0,3,NA,3,2,0,2
SERP_F19C_B1_96,viz_cr_5,This bends the light rays producing an image that is in focus,"Oh, in the previous question (like two questions or so ago?), it wasn't as clearly described as to how the muscle in the iris adjusted the size of the pupil. But now I get it, I guess it's like a flashlight. When a flashlight is beamed on an object closeby, the edges around the light are crisp. You could say it's in ""focus"".",1,0,0,0,0,2,"maybe 2? Not sure if ""accurate""",2,0,0,0,0,3,seems like high quality bridging and elaboration to me.,3,1,0,1
SERP_F19C_B1_96,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less","Why? Why does it need to be thin? I wonder if  this changes the view of the pupil and iris when the lenses are thick or thin. I know that in dim and lighter scenarios the pupil changes size. So if the lenses need to be thin, would the pupil look smaller?",1,0,0,0,0,1,NA,1,0,0,0,0,3,NA,3,2,0,2
SERP_F19C_B1_96,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,Woah that's alot of receptor cells and it's only in the retina!? Is this part of the muscles in the lens?,1,0,0,0,1,0,NA,0,0,0,0,1,2,NA,2,2,0,2
SERP_F19C_B1_96,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",I guess rod cells are an achromatic version of the receptors.,1,0,0,0,0,1,NA,1,0,0,0,0,2,NA,2,1,0,1
SERP_F19C_B1_96,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived",I wish I had a diagram to see where exactly things are placed in the eye. I realize that the the information from the eye is being sent to the brain and then the brain translates those visions into thoughts that can be interpreted.,1,0,0,0,0,1,NA,1,0,0,0,0,2,NA,2,1,0,1
SERP_F19C_C1_97,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.","When you are looking at something, your eyes are able to pick up on objects around you which is processed within the brain. Once the image is processed, you can fully understand the images you are seeing.",1,0,0,0,0,1,a little to vague to be a 2,1,0,0,0,0,1,simple paraphrase,1,0,1,0
SERP_F19C_C1_97,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.","Your eye has many different parts that allow you to see & the first visible layer consists of three parts the corona, pupil, and iris.",1,0,0,1,1,1,incorrect info,1,0,0,0,0,1,simple paraphrase,1,0,1,0
SERP_F19C_C1_97,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,The iris is controlled just like any other moving part in your body. The iris uses muscles to expand and contract. .,1,0,0,0,0,1,NA,1,0,0,0,0,1,simple paraphrase,1,0,1,0
SERP_F19C_C1_97,viz_cr_4,"In dim light, the pupil becomes larger","Pupils become larger to let more light in ,so that you can see better in dark places.",1,0,0,0,0,1,NA,1,0,0,0,0,1,simple paraphrase,2,0,1,1
SERP_F19C_C1_97,viz_cr_5,This bends the light rays producing an image that is in focus,Without the lens in the eye your brain could not interpret perfect images that you see.,1,0,0,0,1,1,NA,1,0,0,0,0,1,simple paraphrase,2,0,1,1
SERP_F19C_C1_97,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less","Lenses are very versatile in shape in order to bend the light, your eyes would not be able to register the distance of objects.",1,0,0,0,0,2,"too much content outside the sentence to be a 1
leave as ? And filter 1/2s and compare at the end",2,0,0,0,0,1,simple paraphrase,2,1,0,0
SERP_F19C_C1_97,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,"Your eyes are able to depict images and color due to the many components found within the eye like the lens, pupil, iris, corona, and it's many receptors.",1,0,0,0,0,1,too vague,1,0,0,0,0,1,simple paraphrase,1,0,1,0
SERP_F19C_C1_97,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",Eyes can also see different colors. Some people who are color blind have less cone receptors that let them see color while almost everyone else has the basic neutral color rod cell receptors.,1,0,0,0,0,2,outside knowledge,2,0,0,0,0,2,bringing in some good elab referencing color blindness,3,0,1,1
SERP_F19C_C1_97,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived","When the rod and cell receptors work with the lens, corona, pupils, and iris, this allows the brain to capture what you are seeing. These components let you see in colors, lighting, and clarity.",1,0,0,NA,0,2,maybe 2?,2,0,0,0,0,1,simple paraphrase,2,1,0,0
SERP_F19C_C2_98,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",We can see through our eyes because they convert light into things our brain interprets as objects.,1,0,0,1,0,1,NA,1,0,0,0,0,1,simple paraphrase,1,0,1,0
SERP_F19C_C2_98,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",The cornea protects the pupil and iris which are the first visible layers of defense for the eye.,1,0,0,1,0,1,"weak bridge with ""defense""",1,0,0,1,0,1,weak bridge,1,0,1,0
SERP_F19C_C2_98,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,The iris and pupil work together because the iris surrounds the pupil and it regulates how much light is entering the pupil. This regulation allows the iris to change the size of the pupil.,1,0,0,0,0,1,NA,1,0,0,0,0,2,"This response is kind of long, but at the same time just feels like a long paraphrase. Nothing too complex going on.",2,1,0,1
SERP_F19C_C2_98,viz_cr_4,"In dim light, the pupil becomes larger","The pupil becomes larger in dim light because it's trying to capture more light. When there's bright light, the pupil becomes smaller because if it's big then it'll allow more than a moderate amount of light to enter the eye.",1,0,0,0,0,2,connects to earlier lines,2,0,0,0,0,2,NA,2,0,1,0
SERP_F19C_C2_98,viz_cr_5,This bends the light rays producing an image that is in focus,The lens use muscles to bend light rays since it's flexible and this is what focuses the light rays into an image.,1,0,0,0,0,2,connects to earlier lines,2,0,0,0,0,1,paraphrase,1,1,0,1
SERP_F19C_C2_98,viz_cr_6,"To see things far away, the lenses need to be thin to bend the light less",The lenses need to be stronger to bend the light more hence why it's thick. The lenses can be a little weaker and thin because it doesn't need to put a lot of effort into bending the light less.,1,0,0,0,0,2,contradicts themselves in the CR?,2,0,0,0,0,2,torn between 1 and 2 overall but landed on 2 because of distal bridging.,2,0,1,0
SERP_F19C_C2_98,viz_cr_7,The retina contains about 130 million receptor cells that each respond to light,There are millions of receptor cells that the light rays need to strike to move onto the next part of becoming an image.,1,0,0,0,0,1,langauge is confusing; may be inaccurate,1,0,0,0,0,1,NA,1,0,1,0
SERP_F19C_C2_98,viz_cr_8,"In contrast, rod cells work best in dim light and enable you to see black, white, and shades of gray",Rods help us see at night because they work in dim light while cones help us see in the day time because it allows us to see color.,1,0,0,0,0,2,connects to earlier lines,2,0,0,0,0,2,I like the references to seeing in the day vs. seeing at night.,2,0,1,NA
SERP_F19C_C2_98,viz_cr_9,"When the rods and cones respond to light hitting them, nerve impulses travel to the brain through the optic nerves where edges, colors and objects are perceived","When the light strike the rods and cones, it triggers the nerve impulses to go to the brain via optic nerves and this is what helps us perceive colors and objects.",1,0,0,0,0,1,pretty paraphrasey,1,0,0,0,0,1,weak paraphrase,1,0,1,0
SERP_F19C_B2_99,viz_cr_1,"They convert that stimulus into impulses that your brain interprets, enabling you to see.",I didn't know that our eyes converted a stimulus into something that we can see.,1,0,0,1,0,1,summarizes a little more from previous lines,1,0,0,0,0,2,"I was torn between a 1 and 2 overall but giving it a 2 because the response includes monitoring and I think that's a pretty strong skill, especially given that this is the first cr of the text.",1,1,0,0
SERP_F19C_B2_99,viz_cr_2,"The first visible layer of the eye includes the pupil and iris, but these are covered by the cornea葉he clear tissue that covers the front of the eye.",does the pupil and iris contain blood or is that just the blood vessels behind the eye?,1,0,0,0,0,0,not productive,0,0,0,0,0,2,modest elaboration mentioning blood vessels,2,2,0,2
SERP_F19C_B2_99,viz_cr_3,The size of the pupil is adjusted by muscles in the iris,"Does the color of your iris have anything to do with how much light enters the eye through the pupil? Is there any purpose to the color of the iris or is it just random?
",1,0,0,0,0,0,NA,0,0,0,0,0,3,questioning iris color = meaningful elaboration,3,3,0,3
SERP_F19C_B2_99,viz_cr_4,"In dim light, the pupil becomes larger",Im assuming the pupil becomes larger in dim light so that it can detect any amount of light in that setting. But if it is pitch black why can we still somehow see shapes or structure?,1,0,0,0,0,1,the assumption gave it a 1,1,0,0,0,0,2,good elaboration,2,1,0,1
SERP_F19C_B2_99,viz_cr_5,This bends the light rays producing an image that is in focus,"Is everybody's lens the same or does it depend on the shape of your eye, and does that also effect how perfect of vision someone has",1,0,0,0,0,0,getting off topic with tehse q's,0,0,0,0,0,2,NA,2,2,0,2
